group,subject,condition,ID,MONOTONIC_FIT_nsmp_norm,MONOTONIC_FIT_ttr_norm,MONOTONIC_FIT_msrates
1,I1,1,1,87,354,267
1,I1,2,1,278,496,56
1,I2,1,2,128,348,282
1,I2,2,2,135,405,33
1,I3,1,3,31,96,115
1,I3,2,3,119,315,120
1,I4,1,4,25,198,146
1,I4,2,4,26,77,76
1,I5,1,5,221,442,426
1,I5,2,5,38,108,40
1,I6,1,6,43,179,222
1,I6,2,6,77,219,24
1,I7,1,7,13,117,78
1,I7,2,7,88,303,154
1,I8,1,8,38,122,203
1,I8,2,8,40,165,240
2,S1,1,9,39,149,170
2,S1,2,9,29,81,76
2,S2,1,10,137,356,430
2,S2,2,10,103,266,201
2,S3,1,11,67,228,214
2,S3,2,11,23,157,94
2,S4,1,12,11,52,63
2,S4,2,12,296,473,1
2,S5,1,13,22,86,101
2,S5,2,13,29,92,29
2,S6,1,14,56,229,265
2,S6,2,14,80,328,128
2,S7,1,15,146,385,41
2,S7,2,15,18,65,21
2,S8,1,16,18,51,51
2,S8,2,16,7,25,5
