group,subject,condition,ID,MONOTONIC_FIT_nsmp_norm,MONOTONIC_FIT_ttr_norm,MONOTONIC_FIT_msrates
1,I1,1,1,15,102,30
1,I1,2,1,292,469,1
1,I2,1,2,185,403,266
1,I2,2,2,240,497,197
1,I3,1,3,28,76,100
1,I3,2,3,106,273,117
1,I4,1,4,21,55,27
1,I4,2,4,35,82,33
1,I5,1,5,194,422,323
1,I5,2,5,15,41,13
1,I6,1,6,36,128,143
1,I6,2,6,106,286,61
1,I7,1,7,2,0,1
1,I7,2,7,208,393,258
1,I8,1,8,45,134,143
1,I8,2,8,83,291,241
2,S1,1,9,23,70,61
2,S1,2,9,12,48,28
2,S2,1,10,169,406,401
2,S2,2,10,96,251,204
2,S3,1,11,77,303,146
2,S3,2,11,19,97,34
2,S4,1,12,6,18,19
2,S4,2,12,221,341,1
2,S5,1,13,22,66,73
2,S5,2,13,27,83,33
2,S6,1,14,66,159,145
2,S6,2,14,106,319,126
2,S7,1,15,184,385,3
2,S7,2,15,15,50,7
2,S8,1,16,11,39,29
2,S8,2,16,4,206,5
