group,subject,condition,ID,MONOTONIC_FIT_nsmp_norm,MONOTONIC_FIT_ttr_norm,MONOTONIC_FIT_msrates
1,I1,1,1,2,0,1
1,I1,2,1,292,470,1
1,I2,1,2,2,0,1
1,I2,2,2,2,0,1
1,I3,1,3,5,67,3
1,I3,2,3,2,0,1
1,I4,1,4,4,165,69
1,I4,2,4,6,14,7
1,I5,1,5,168,378,385
1,I5,2,5,67,181,86
1,I6,1,6,2,0,1
1,I6,2,6,54,151,1
1,I7,1,7,16,187,177
1,I7,2,7,39,193,35
1,I8,1,8,12,41,41
1,I8,2,8,2,0,1
2,S1,1,9,88,226,6
2,S1,2,9,27,310,8
2,S2,1,10,34,95,70
2,S2,2,10,94,278,1
2,S3,1,11,30,98,50
2,S3,2,11,88,222,6
2,S4,1,12,9,255,147
2,S4,2,12,4,164,4
2,S5,1,13,8,19,15
2,S5,2,13,273,472,1
2,S6,1,14,6,15,16
2,S6,2,14,2,0,1
2,S7,1,15,2,0,1
2,S7,2,15,2,0,1
2,S8,1,16,12,30,30
2,S8,2,16,2,0,1
