dataPert1,dataPert1_5,dataRate6_30,dataSSL30,fitPert1,fitPert1_5,fitRate6_30,fitSSL30,stridesToAVGpert,group,subject,condition,ID
-0.270532732439962,-0.238746558004207,-0.146851961009586,-0.0492107535220845,-0.270532732439962,-0.238746558004207,-0.146851961009586,-0.0492107535220845,20,1,I1,1,1
-0.100158151978176,-0.0977029626854612,-0.0707371091074841,-0.0247849509151964,-0.100158151978176,-0.0977029626854612,-0.0707371091074841,-0.0247849509151964,293,1,I1,2,1
-0.204824932847107,-0.174325091066485,-0.115315412068039,-0.000620692881285011,-0.204824932847107,-0.174325091066485,-0.115315412068039,-0.000620692881285011,131,1,I2,1,2
-0.0819487684020873,-0.0648467931556964,-0.036692909250063,0.0307296771879518,-0.0819487684020873,-0.0648467931556964,-0.036692909250063,0.0307296771879518,173,1,I2,2,2
-0.423560512574816,-0.411532842976812,-0.302332443044938,-0.0623736189337733,-0.423560512574816,-0.411532842976812,-0.302332443044938,-0.0623736189337733,30,1,I3,1,3
-0.274562219095658,-0.220733317151771,-0.133010421606069,-0.0404255844184115,-0.274562219095658,-0.220733317151771,-0.133010421606069,-0.0404255844184115,138,1,I3,2,3
-0.247198076003447,-0.229408421798028,-0.134130632793428,-0.000643366489402226,-0.247198076003447,-0.229408421798028,-0.134130632793428,-0.000643366489402226,23,1,I4,1,4
-0.335942857777865,-0.225968384097139,-0.0721159101117197,-0.00024567616137641,-0.335942857777865,-0.225968384097139,-0.0721159101117197,-0.00024567616137641,26,1,I4,2,4
-0.434703329450898,-0.396203318667,-0.267146709208446,-0.0801789114681881,-0.434703329450898,-0.396203318667,-0.267146709208446,-0.0801789114681881,228,1,I5,1,5
-0.25175351426182,-0.215030033502546,-0.125169714979734,-0.0443689388212417,-0.25175351426182,-0.215030033502546,-0.125169714979734,-0.0443689388212417,37,1,I5,2,5
-0.518786700242247,-0.490614671695357,-0.394590841404391,-0.0669608296818994,-0.518786700242247,-0.490614671695357,-0.394590841404391,-0.0669608296818994,43,1,I6,1,6
-0.102447996259143,-0.107531076081582,-0.0990093351729131,-0.0223642749466499,-0.102447996259143,-0.107531076081582,-0.0990093351729131,-0.0223642749466499,78,1,I6,2,6
-0.39277126651146,-0.357168952803655,-0.202333397427623,-0.082162082885306,-0.39277126651146,-0.357168952803655,-0.202333397427623,-0.082162082885306,12,1,I7,1,7
-0.343279831866433,-0.32970579030669,-0.187516129077781,-0.0498557619578308,-0.343279831866433,-0.32970579030669,-0.187516129077781,-0.0498557619578308,95,1,I7,2,7
-0.442213717274006,-0.434739657914876,-0.292492375851068,-0.0344307374293881,-0.442213717274006,-0.434739657914876,-0.292492375851068,-0.0344307374293881,38,1,I8,1,8
-0.367918379114864,-0.316592267496888,-0.174072993006158,-0.0250181151361681,-0.367918379114864,-0.316592267496888,-0.174072993006158,-0.0250181151361681,42,1,I8,2,8
-0.353304582126638,-0.310351592532059,-0.196281000577721,-0.0129375776899672,-0.353304582126638,-0.310351592532059,-0.196281000577721,-0.0129375776899672,39,2,S1,1,9
-0.263168680325773,-0.210194791156438,-0.099208489835857,-0.0152192176367302,-0.263168680325773,-0.210194791156438,-0.099208489835857,-0.0152192176367302,29,2,S1,2,9
-0.601467776241882,-0.581577161985393,-0.560012132305259,-0.0554442580624635,-0.601467776241882,-0.581577161985393,-0.560012132305259,-0.0554442580624635,141,2,S2,1,10
-0.30071098070297,-0.289071120109026,-0.214621318679306,-0.0480936101002239,-0.30071098070297,-0.289071120109026,-0.214621318679306,-0.0480936101002239,106,2,S2,2,10
-0.274310942819752,-0.263437270294232,-0.228061227350037,0.0139347487575975,-0.274310942819752,-0.263437270294232,-0.228061227350037,0.0139347487575975,66,2,S3,1,11
-0.193117903638026,-0.159865190085058,-0.107740954852057,0.000855732798925826,-0.193117903638026,-0.159865190085058,-0.107740954852057,0.000855732798925826,23,2,S3,2,11
-0.38648404278356,-0.332508956858765,-0.128853718324441,-0.0281161275984058,-0.38648404278356,-0.332508956858765,-0.128853718324441,-0.0281161275984058,11,2,S4,1,12
-0.0506527320159284,-0.0410111619170991,-0.0140883133020299,0.0162545460758575,-0.0506527320159284,-0.0410111619170991,-0.0140883133020299,0.0162545460758575,13,2,S4,2,12
-0.379581352553534,-0.355880115511405,-0.220934584960008,-0.0613705782872931,-0.379581352553534,-0.355880115511405,-0.220934584960008,-0.0613705782872931,21,2,S5,1,13
-0.175519872873972,-0.149400787824479,-0.102932506188508,-0.0412796175832146,-0.175519872873972,-0.149400787824479,-0.102932506188508,-0.0412796175832146,29,2,S5,2,13
-0.328134540607882,-0.25696281749229,-0.13160186223362,-0.0109264506462428,-0.328134540607882,-0.25696281749229,-0.13160186223362,-0.0109264506462428,56,2,S6,1,14
-0.14655062712171,-0.139991226804089,-0.101314737227054,-0.0213012974233949,-0.14655062712171,-0.139991226804089,-0.101314737227054,-0.0213012974233949,82,2,S6,2,14
-0.0914392837118523,-0.0775228704982115,-0.0658819767222327,-0.0399856136610867,-0.0914392837118523,-0.0775228704982115,-0.0658819767222327,-0.0399856136610867,181,2,S7,1,15
-0.106623998277325,-0.101203898506485,-0.0711948662642329,-0.0347326521284316,-0.106623998277325,-0.101203898506485,-0.0711948662642329,-0.0347326521284316,18,2,S7,2,15
-0.229986668214335,-0.211446487511029,-0.124491044041918,0.00116476449627303,-0.229986668214335,-0.211446487511029,-0.124491044041918,0.00116476449627303,17,2,S8,1,16
-0.118369699279316,-0.0592014408480591,0.0152473798488984,0.0365357269932927,-0.118369699279316,-0.0592014408480591,0.0152473798488984,0.0365357269932927,7,2,S8,2,16
