dataPert1,dataPert1_5,dataRate6_30,dataSSL30,fitPert1,fitPert1_5,fitRate6_30,fitSSL30,stridesToAVGpert,group,subject,condition,ID
0.170374580461786,0.141043595318746,0.0761148519021022,0.024425802606888,0.170374580461786,0.141043595318746,0.0761148519021022,0.024425802606888,273,1,I1,A2-A1,1
0.12287616444502,0.109478297910788,0.0786225028179763,0.0313503700692368,0.12287616444502,0.109478297910788,0.0786225028179763,0.0313503700692368,42,1,I2,A2-A1,2
0.148998293479157,0.19079952582504,0.169322021438869,0.0219480345153618,0.148998293479157,0.19079952582504,0.169322021438869,0.0219480345153618,108,1,I3,A2-A1,3
-0.0887447817744184,0.00344003770088852,0.0620147226817086,0.000397690328025816,-0.0887447817744184,0.00344003770088852,0.0620147226817086,0.000397690328025816,3,1,I4,A2-A1,4
0.182949815189078,0.181173285164454,0.141976994228712,0.0358099726469465,0.182949815189078,0.181173285164454,0.141976994228712,0.0358099726469465,-191,1,I5,A2-A1,5
0.416338703983104,0.383083595613775,0.295581506231478,0.0445965547352494,0.416338703983104,0.383083595613775,0.295581506231478,0.0445965547352494,35,1,I6,A2-A1,6
0.0494914346450273,0.0274631624969648,0.0148172683498417,0.0323063209274752,0.0494914346450273,0.0274631624969648,0.0148172683498417,0.0323063209274752,83,1,I7,A2-A1,7
0.0742953381591413,0.118147390417988,0.11841938284491,0.00941262229321994,0.0742953381591413,0.118147390417988,0.11841938284491,0.00941262229321994,4,1,I8,A2-A1,8
0.0901359018008652,0.100156801375621,0.097072510741864,-0.00228163994676308,0.0901359018008652,0.100156801375621,0.097072510741864,-0.00228163994676308,-10,2,S1,A2-A1,9
0.300756795538912,0.292506041876367,0.345390813625953,0.00735064796223957,0.300756795538912,0.292506041876367,0.345390813625953,0.00735064796223957,-35,2,S2,A2-A1,10
0.0811930391817261,0.103572080209174,0.120320272497979,-0.0130790159586717,0.0811930391817261,0.103572080209174,0.120320272497979,-0.0130790159586717,-43,2,S3,A2-A1,11
0.335831310767631,0.291497794941666,0.114765405022411,0.0443706736742633,0.335831310767631,0.291497794941666,0.114765405022411,0.0443706736742633,2,2,S4,A2-A1,12
0.204061479679562,0.206479327686925,0.1180020787715,0.0200909607040785,0.204061479679562,0.206479327686925,0.1180020787715,0.0200909607040785,8,2,S5,A2-A1,13
0.181583913486172,0.116971590688201,0.0302871250065653,-0.0103748467771521,0.181583913486172,0.116971590688201,0.0302871250065653,-0.0103748467771521,26,2,S6,A2-A1,14
-0.0151847145654726,-0.0236810280082736,-0.0053128895420002,0.00525296153265507,-0.0151847145654726,-0.0236810280082736,-0.0053128895420002,0.00525296153265507,-163,2,S7,A2-A1,15
0.111616968935019,0.15224504666297,0.139738423890816,0.0353709624970196,0.111616968935019,0.15224504666297,0.139738423890816,0.0353709624970196,-10,2,S8,A2-A1,16
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
