group,subject,condition,ID,One_EXP_nsmp_norm,One_EXP_ttr_norm,One_EXP_msrates,MONOTONIC_FIT_nsmp_norm,MONOTONIC_FIT_ttr_norm,MONOTONIC_FIT_msrates,One_EXP_CONSTR_nsmp_norm,One_EXP_CONSTR_ttr_norm,One_EXP_CONSTR_msrates,Two_EXP_CONSTR_nsmp_norm,Two_EXP_CONSTR_ttr_norm,Two_EXP_CONSTR_msrates,Two_EXP_nsmp_norm,Two_EXP_ttr_norm,Two_EXP_msrates
1,I1,1,1,20,57,48,87,354,81,14,39,39,14,40,40,93,367,79
1,I1,2,1,293,467,1,278,496,4,160,406,24,52,161,11,293,435,1
1,I2,1,2,131,366,226,128,348,240,57,177,167,131,357,237,131,359,237
1,I2,2,2,173,423,1,135,405,20,25,74,30,24,73,29,27,66,26
1,I3,1,3,30,90,110,31,96,105,30,90,110,30,90,110,30,90,111
1,I3,2,3,138,378,108,119,315,78,14,39,35,15,41,36,130,340,84
1,I4,1,4,23,68,64,25,198,65,20,59,60,20,58,59,16,45,48
1,I4,2,4,26,76,48,26,77,52,7,17,19,10,27,28,32,84,56
1,I5,1,5,228,459,386,221,442,387,98,294,345,227,463,390,226,457,390
1,I5,2,5,37,113,34,38,108,31,25,74,35,39,110,29,26,66,32
1,I6,1,6,43,133,162,43,179,192,38,116,152,37,113,149,38,167,254
1,I6,2,6,78,239,12,77,219,14,86,261,4,52,158,3,34,66,1
1,I7,1,7,12,34,40,13,117,45,12,34,40,12,34,40,12,33,39
1,I7,2,7,95,286,124,88,303,116,19,54,50,93,328,111,19,54,48
1,I8,1,8,38,115,125,38,122,127,34,103,118,34,102,118,38,120,134
1,I8,2,8,42,128,105,40,165,125,18,53,62,43,157,133,21,59,63
2,S1,1,9,39,119,107,39,149,121,27,82,88,40,126,119,16,46,57
2,S1,2,9,29,87,51,29,81,53,15,41,36,15,43,37,31,88,56
2,S2,1,10,141,380,447,137,356,433,127,357,449,141,392,448,140,393,448
2,S2,2,10,106,314,203,103,266,203,86,262,191,54,165,147,105,307,205
2,S3,1,11,66,204,193,67,228,181,67,207,194,50,152,165,66,203,192
2,S3,2,11,23,67,56,23,157,52,19,57,51,19,57,51,24,160,56
2,S4,1,12,11,29,35,11,52,53,10,27,34,11,29,35,10,27,33
2,S4,2,12,13,37,1,296,473,1,12,33,1,12,33,1,15,44,1
2,S5,1,13,21,62,67,22,86,78,19,55,63,19,55,63,15,44,52
2,S5,2,13,29,86,24,29,92,20,19,55,25,19,55,25,28,90,19
2,S6,1,14,56,171,105,56,229,102,13,36,41,14,39,45,24,70,62
2,S6,2,14,82,252,71,80,328,54,46,140,65,40,123,58,39,119,55
2,S7,1,15,181,422,1,146,385,4,43,132,33,34,103,28,185,381,4
2,S7,2,15,18,52,16,18,65,15,17,48,17,17,48,17,18,51,16
2,S8,1,16,17,50,52,18,51,47,18,53,54,18,53,54,17,50,52
2,S8,2,16,7,17,6,7,25,4,5,12,6,6,15,8,9,23,8
