group,subject,condition,ID,One_EXP_nsmp_norm,One_EXP_ttr_norm,One_EXP_msrates,MONOTONIC_FIT_nsmp_norm,MONOTONIC_FIT_ttr_norm,MONOTONIC_FIT_msrates,One_EXP_CONSTR_nsmp_norm,One_EXP_CONSTR_ttr_norm,One_EXP_CONSTR_msrates,Two_EXP_CONSTR_nsmp_norm,Two_EXP_CONSTR_ttr_norm,Two_EXP_CONSTR_msrates,Two_EXP_nsmp_norm,Two_EXP_ttr_norm,Two_EXP_msrates
1,I1,1,1,11,31,25,15,102,28,9,25,23,9,25,23,11,31,25
1,I1,2,1,292,467,1,292,469,1,6,14,1,5,11,1,15,44,1
1,I2,1,2,192,439,171,185,403,172,96,289,154,22,64,49,191,427,171
1,I2,2,2,2,1,2,240,497,2,134,371,67,22,63,15,15,44,1
1,I3,1,3,26,78,92,28,76,86,29,87,96,29,87,97,26,78,92
1,I3,2,3,113,330,83,106,273,62,25,76,50,23,69,46,53,164,65
1,I4,1,4,19,56,34,21,55,38,21,61,33,21,61,34,19,53,34
1,I4,2,4,34,102,62,35,82,61,12,34,35,12,34,35,31,94,59
1,I5,1,5,209,449,210,194,422,208,144,387,199,90,243,161,26,78,68
1,I5,2,5,14,39,6,15,41,3,12,33,8,12,33,8,14,39,6
1,I6,1,6,36,110,119,36,128,136,36,110,119,36,110,119,35,105,116
1,I6,2,6,126,354,42,106,286,41,107,314,55,124,362,36,23,70,26
1,I7,1,7,3,5,7,2,0,1,3,5,7,3,5,7,5,11,10
1,I7,2,7,6,14,13,208,393,14,6,15,14,6,15,14,7,16,14
1,I8,1,8,44,136,104,45,134,109,41,126,102,41,125,101,31,94,84
1,I8,2,8,88,267,138,83,291,135,24,71,70,21,61,62,52,158,106
2,S1,1,9,23,69,63,23,70,63,19,56,57,19,56,57,23,69,63
2,S1,2,9,16,48,30,12,48,32,5,12,13,6,13,14,15,44,29
2,S2,1,10,179,426,365,169,406,364,153,398,355,98,293,358,179,426,365
2,S2,2,10,103,307,164,96,251,167,85,260,159,61,181,130,31,92,81
2,S3,1,11,77,236,156,77,303,151,76,236,156,71,218,149,27,81,84
2,S3,2,11,18,52,39,19,97,36,18,53,39,18,53,39,18,52,39
2,S4,1,12,6,15,19,6,18,22,6,14,18,6,14,18,6,15,19
2,S4,2,12,8,20,1,221,341,1,3,5,1,4,9,1,15,44,1
2,S5,1,13,21,63,62,22,66,67,19,56,59,19,56,59,21,63,62
2,S5,2,13,26,77,30,27,83,26,14,39,25,14,39,25,26,76,30
2,S6,1,14,68,210,111,66,159,109,25,75,70,24,73,68,66,202,109
2,S6,2,14,110,323,93,106,319,76,77,236,93,32,95,45,56,169,72
2,S7,1,15,214,442,1,184,385,4,17,50,13,17,49,13,199,429,5
2,S7,2,15,14,41,13,15,50,9,14,39,13,14,39,13,15,44,13
2,S8,1,16,11,31,19,11,39,18,10,26,18,10,26,18,11,31,19
2,S8,2,16,4,9,4,4,206,4,4,8,4,5,10,5,15,44,1
