group,subject,condition,ID,One_EXP_nsmp_norm,One_EXP_ttr_norm,One_EXP_msrates,MONOTONIC_FIT_nsmp_norm,MONOTONIC_FIT_ttr_norm,MONOTONIC_FIT_msrates,One_EXP_CONSTR_nsmp_norm,One_EXP_CONSTR_ttr_norm,One_EXP_CONSTR_msrates,Two_EXP_CONSTR_nsmp_norm,Two_EXP_CONSTR_ttr_norm,Two_EXP_CONSTR_msrates,Two_EXP_nsmp_norm,Two_EXP_ttr_norm,Two_EXP_msrates
1,I1,1,1,3,5,3,2,0,1,3,6,3,5,10,5,3,3,4
1,I1,2,1,2,0,1,292,470,1,2,0,1,2,36,1,2,0,1
1,I2,1,2,12,34,7,2,0,1,12,32,8,12,33,8,12,32,7
1,I2,2,2,7,17,7,2,0,1,8,20,6,8,20,6,12,31,7
1,I3,1,3,4,9,4,5,67,4,4,9,4,8,20,7,6,14,3
1,I3,2,3,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1
1,I4,1,4,4,7,7,4,165,7,4,7,7,4,7,7,8,20,12
1,I4,2,4,6,14,4,6,14,4,6,14,4,6,14,3,8,20,3
1,I5,1,5,11,30,24,168,378,32,10,28,23,10,28,23,11,31,25
1,I5,2,5,67,205,8,67,181,1,66,203,9,32,95,5,30,91,18
1,I6,1,6,8,1,1,2,0,1,2,0,1,2,0,1,2,0,1
1,I6,2,6,2,2,1,54,151,1,74,227,1,43,98,1,21,63,1
1,I7,1,7,16,45,62,16,187,143,16,45,61,16,45,61,16,45,62
1,I7,2,7,39,120,39,39,193,26,26,77,37,26,76,37,34,104,37
1,I8,1,8,12,33,33,12,41,34,13,35,34,13,35,34,12,34,33
1,I8,2,8,7,16,10,2,0,1,7,18,10,7,18,10,10,29,12
2,S1,1,9,93,281,8,88,226,12,52,159,44,23,70,21,22,66,14
2,S1,2,9,22,65,11,27,310,11,21,61,12,21,61,12,22,65,11
2,S2,1,10,30,91,67,34,95,76,32,95,68,31,93,67,30,90,66
2,S2,2,10,2,0,1,94,278,1,295,471,1,24,71,1,25,75,1
2,S3,1,11,31,94,47,30,98,43,20,57,39,19,55,38,23,68,39
2,S3,2,11,12,33,6,88,222,5,9,25,8,11,30,9,15,44,5
2,S4,1,12,8,22,19,9,255,17,10,27,21,10,27,21,10,28,22
2,S4,2,12,296,472,1,4,164,3,3,6,3,4,10,3,15,44,1
2,S5,1,13,8,19,14,8,19,15,8,22,15,8,19,14,9,25,17
2,S5,2,13,4,8,1,273,472,1,4,8,1,8,19,1,15,44,1
2,S6,1,14,6,13,10,6,15,10,6,14,10,9,23,15,14,41,13
2,S6,2,14,4,7,3,2,0,1,4,7,3,4,6,4,15,44,1
2,S7,1,15,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1
2,S7,2,15,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1
2,S8,1,16,12,33,35,12,30,32,15,41,38,15,41,38,12,33,35
2,S8,2,16,4,9,3,2,0,1,4,9,3,6,15,5,4,9,3
